DPI
170.548
170.245
178.047
179.916
185.295
193.025
199.178
199.673
194.22
193.991
194.108
195.034
209.698
210.065
217.145
222.384
229.715
236.737
239.757
242.499
243.408
246.447
253.057
258.904
262.968
266.799
266.957
267.217
269.931
269.82
271.778
276.713
282.103
288.631
295.107
299.354
303.616
308.551
313.182
319.894
323.789
328.145
332.482
331.974
333.104
336.028
343.668
348.811
353.222
360.377
362.062
366.634
371.359
375.715
377.847
379.358
383.653
389.432
396.03
404.186
409.933
415.826
419.178
424.193
429.107
433.739
440.601
449.437
460.392
473.838
481.587
488.675
496.02
504.149
519.863
531.956
541.375
547.242
558.165
569.061
579.322
586.696
597.752
607.28
623.954
640.688
649.389
661.666
669.756
684.95
707.48
721.137
737.168
754.52
774.022
782.186
805.328
826.35
838.808
853.832
866.754
880.815
905.843
949.861
968.678
995.679
1018.43
1050.7
1064.035
1083.985
1114.191
1140.869
1160.434
1228.887
1233.647
1264.165
1293.61
1311.899
1342.259
1372.14
1400.016
1437.33
1479.197
1528.88
1566.088
1615.146
1656.31
1698.742
1751.557
1783.199
1836.048
1884.378
1948.375
1978.594
2047.035
2125.789
2177.067
2215.467
2300.12
2337.014
2372.184
2409.803
2460.346
2496.537
2542.271
2583.834
2656.772
2732.466
2815.063
2888.212
2948.522
2991.25
3019.219
3104.431
3120.151
3176.512
3242.404
3279.727
3315.453
3335.966
3392.286
3389.595
3483.129
3563.869
3651.096
3733.633
3818.096
3893.495
3980.878
4021.334
4071.738
4139.149
4232.899
4302.906
4358.183
4380.538
4416.999
4474.407
4522.072
4590.565
4708.396
4784.123
4835.461
4890.79
4938.702
4987.377
5013.209
5077.154
5128.478
5208.541
5276.837
5377.53
5449.491
5496.388
5568.822
5625.106
5708.976
5799.069
5869.286
5939.133
6020.067
6087.066
6175.301
6286.188
6420.339
6522.052
6607.2
6674.156
6758.699
6801.646
6887.388
7019.004
7199.618
7319.561
7464.026
7556.664
7673.477
7703.502
7883.495
7755.9
7957.569
8080.919
8132.548
8220.458
8285.363
8387.902
8586.985
8652.611
8758.765
8907.978
9009.501
9192.274
9120.286
9261.799
9396.375
9556.135
9783.858
9906.546
9992.332
10097.401
10267.697
10406.081
10482.565
10602.17
10733.994
11061.837
10964.447
10912.439
10830.42
10946.227
10888.262
10988.307
11096.944
11298.797
11381.992
11498.297
11711.593
11803.352
11921.125
11987.448
12252.058
12364.177
12301.844
12715.043
12254.043
12353.217
12447.306
12510.375
12714.402
12931.863
13089.117
13258.192
13380.512
13487.843
13598.262
13664.797
13782.355
13841.829
13968.109
14123.3
14353.057
14538.77
14692.113
14871.77
15133.06
15349.067
15563.066
15770.966
15997.305
16074.939
16222.056
16363.691
16521.436
18086.869
17586.023
17304.892
19607.747
18359.154
18398.833
18491.863
18303.323
18555.593
19074.878
19442.254
20146.973
20460.371
20666.37
20913.483
21378.574
21638.939
